pid,label,title-es,title-ura,type,type-es,type-ura,location,location-es,location-ura,creator,creator-es,creator-ura,description,description-es,description-ura,material,material-es,material-ura,language,source,source-es,source-ura,subject,subject-es,subject-ura,object_location,image_small,image_thumb,display_template,order,layout,collection,thumbnail,full
2007.4707,Bowl,Cuenco,baichaje,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa baichaje te süri tijiichae, nüjüae meruekae, küani jichuekaain, kadane lanaji ke ürerianuinein.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,010,urarina_item,urarina,img/derivatives/simple/2007.4707/thumbnail.jpg,img/derivatives/simple/2007.4707/fullwidth.jpg
2007.4708,Bowl,Cuenco,müraae barüe kunaanaja,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa mürae te barüe kunaanajane, jujururueritua, üküajeriti küanikiin, jichueki küanekiin, fachuru sumaji ke kulanujuinein, kadane lanaji ke ürerianuinein.",Ceramic,Cerámica,atane kusumara|kadane,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|kadane|Cerámica|Recipientes,,,,,011,urarina_item,urarina,img/derivatives/simple/2007.4708/thumbnail.jpg,img/derivatives/simple/2007.4708/fullwidth.jpg
2007.4709,Bowl,Cuenco,atane kuujuachü arajiin lenunenanaja,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa atane kujuachü te tasiujuae arajii cha aina lenunena naja neein, jarautua rei küani jujuariin, melaariin, kadane laniji ke rüjüanujuinein.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,012,urarina_item,urarina,img/derivatives/simple/2007.4709/thumbnail.jpg,img/derivatives/simple/2007.4709/fullwidth.jpg
2007.4711,Bowl,Cuenco,müraae akaü kunaanaja,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa mürae te nujuu tütüekae, üküajeriti küanekiin, kadane lanaji ke ürerianuinein.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,013,urarina_item,urarina,img/derivatives/simple/2007.4711/thumbnail.jpg,img/derivatives/simple/2007.4711/fullwidth.jpg
2007.4713,Bowl,Cuenco,enekürü lenune kürü ujuaichü,,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa ujuaichü te kauatiin janujuine, jujururutiin, jarauti küanekiin, üküati küanekiin, kadane lanaji ke kulanujuineein jana rei küani te jichuajiaujuain sumaekueri kauatiin netüüjiane jaün.",Ceramic,Cerámica,atane kusumara,,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,014,urarina_item,urarina,img/derivatives/simple/2007.4713/thumbnail.jpg,img/derivatives/simple/2007.4713/fullwidth.jpg
2007.4714,Bowl,Cuenco,lenune chalünaanaja atane kumüraje,,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa ujuaichüte lenune chalünaanaja ne, nujuu tütüekaa, sumaeki kuluuin, kadane lanaji ke ürerianuinein.",Ceramic,Cerámica,atane kusumara,,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,015,urarina_item,urarina,img/derivatives/simple/2007.4714/thumbnail.jpg,img/derivatives/simple/2007.4714/fullwidth.jpg
2007.4812,Basket with Handle,Cesto con colgadera,jichü kaje ürüuura,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"The basket has a round body that tapers as it gets taller. One handle spans the opening, though it is broken. It is dark brown but otherwise undecorated. It is slightly lopsided. Late 1800s-2007. 21.5 x 25 x 29.5 cm depth includes handle; 8 7/16 x 9 13/16","La canasta tiene un cuerpo redondo que se estrecha a medida que crece. Una manija se extiende por la abertura, aunque está rota. Es de color marrón oscuro pero lo demás no tiene decoración. Está ligeramente torcida. Finales de 1800-2007. 21,5 x 25 x 29,5 cm profundidad incluye la manija; 8 7/16 x 9 13/16","kaa jichü kuruuru te jaüre jichü kaje, süri tijiichaa, nüjüae tütüekaa, kujuiijiein. Enekürü rüküele kürü neinte nelate",plant fiber|weaving,fibra de planta|tejido,jichü,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Plant fiber|Weaving|Container,Fibra de planta|Tejido|Recipientes,Fibra de planta|Tejido|Recipientes|jichü,,,,,016,urarina_item,urarina,img/derivatives/simple/2007.4812/thumbnail.jpg,img/derivatives/simple/2007.4812/fullwidth.jpg
2007.4827,Storage Basket,Cesto de almacenamiento,elele kukuamela tafa,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"The bottom and sides of the rectangular basket are created from strips of palm fiber stitched together at either end and the middle. The bottom edge and rim appear to be wood to provide structure, held in place with plant fiber string. Late 1800s-1996. 15&nbsp;x 27 x 49.5 cm; 5 7/8 x 10 5/8 x 19 1/2 in","El fondo y los lados de la canasta rectangular se crean a partir de tiras de fibra de palma cosidas en ambos extremos y en el centro. El borde inferior y el borde parecen ser de madera para proporcionar estructura, sujetados con cuerdas de fibra vegetal. Finales de 1800-1996. 15 x 27 x 49,5 cm; 5 7/8 x 10 5/8 x 19 1/2 pulgadas","kaa elele kukuamela te jaüre elele ekune kaje, jerekürüane tabainejein, inuri ke sitüüsiin tukukuin, aranaji ke müküerateein jaaüre",Palm fiber|plant fiber|wood,Fibra del palma|fibra de planta|madera,elele ekune,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Palm fiber|Plant fiber|Wood|Container,Fibra de palma|Fibra de planta|Madera|Recipientes,Fibra de palma|Fibra de planta|Madera|Recipientes|elele ekune,,,,,017,urarina_item,urarina,img/derivatives/simple/2007.4827/thumbnail.jpg,img/derivatives/simple/2007.4827/fullwidth.jpg
2007.4828,Storage Basket,Cesto de almacenamiento,elele kukuamela jaberuku,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"The bottom and sides of the rectangular basket are created from strips of palm fiber stitched together at either end and the middle. The bottom edge and rim appear to be wood to provide structure, held in place with plant fiber string. Late 1800s-1996. 15 x 24 x 48.5 cm; 5 7/8 x 9 7/16 x 19 1/8 in","El fondo y los lados de la canasta rectangular se crean a partir de tiras de fibra de palma cosidas en ambos extremos y en el centro. El borde inferior y el borde parecen ser de madera para proporcionar estructura, sujetados con cuerdas de fibra vegetal. Finales de 1800-1996. 15 x 24 x 48,5 cm; 5 7/8 x 9 7/16 x 19 1/8 pulgadas","kaa elele kukuamela te jaüre elele ekune kaje, jerekürüane tabinejein, inuri ke sitüüsiin tukukuin, aranaji ke müküerateein",Palm fiber|plant fiber|wood,Fibra del palma|fibra de planta|madera,elele ekune,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Palm fiber|Plant fiber|Wood|Container,Fibra de palma|Fibra de planta|Madera|Recipientes,Fibra de palma|Fibra de planta|Madera|Recipientes|elele ekune,,,,,018,urarina_item,urarina,img/derivatives/simple/2007.4828/thumbnail.jpg,img/derivatives/simple/2007.4828/fullwidth.jpg
2007.4873,Child's Hammock,Hamaca para niño,,Furniture and furnishings,Muebles y accesorios,Muebles y accesorios,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,The small hammock is made from twisted plant fiber cords knotted at regular intervals. There are wooden rods at either end. It is a light natural color with two darker brown stripes in the hammock. The ropes at either end are braided plant fibers. Late 1800s-1996.&nbsp;65 x 32.5 cm length does not include straps; 25 9/16 x 12 3/4 in length does not include straps,"La pequeña hamaca está hecha de cuerdas de fibra vegetal retorcidas anudadas a intervalos regulares. Hay varillas de madera en cada extremo. Es un color natural claro con dos rayas marrones más oscuras en la hamaca. Las cuerdas en cada extremo son fibras vegetales trenzadas. Finales de 1800-1996;65 x 32,5 cm de largo no incluye correas; 25 9/16 x 12 3/4 de largo no incluye correas",,plant fiber|wood|braiding|dyeing,fibra de planta|madera|trenzado|tintura,,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Plant fiber|Wood|Braiding|Dyeing|Furniture and furnishings,Fibra de planta|Madera|Trenzado|Tintura|Muebles y accesorios,,,,,,019,urarina_item,urarina,img/derivatives/simple/2007.4873/thumbnail.jpg,img/derivatives/simple/2007.4873/fullwidth.jpg
2007.4874,Pillow,Almohada,ela kubiinaau,Furniture and furnishings,Muebles y accesorios,Muebles y accesorios,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,The small rectangular pillow is possibly stuffed with cloth. The exterior of the pillow is woven from fine plant fiber strings. Light natural stripes alternate with darker brown. The stripes are parallel to the long axis of the rectangle. Late 1800s-early 2000s.&nbsp;37.5 x 23.5 x 11.5 cm; 14 3/4 x 9 1/4 x 4 1/2 in,"La pequeña almohada rectangular posiblemente esté rellena de tela. El exterior de la almohada está tejido con hilos finos de fibra vegetal. Las rayas naturales claras se alternan con el marrón más oscuro. Las rayas son paralelas al eje largo del rectángulo. Finales de 1800-principios de 2000;37,5 x 23,5 x 11,5 cm; 14 3/4 x 9 1/4 x 4 1/2 pulgadas","<p>kaa binau te ala kaje jaüre, inuri ke tukukuin, aari kufeei ke süri lenuneteein.",plant fiber|possibly cloth|weaving|dyeing,fibra de planta|posiblemente ropa|trenzado|tintura,ela|aari kufei,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Plant fiber|Possibly cloth|Weaving|Dyeing|Furniture and furnishings,Fibra de planta|Posiblemente ropa|Trenzado|Tintura|Muebles y accesorios,ela|aari kufei|Fibra de planta|Posiblemente ropa|Trenzado|Tintura|Muebles y accesorios,,,,,020,urarina_item,urarina,img/derivatives/simple/2007.4874/thumbnail.jpg,img/derivatives/simple/2007.4874/fullwidth.jpg
2007.4883,Quiver and Gourd with Poison Darts,Aljaba y paté con dardos envenedados,jaüna kujuade,Weapon,Armas,Armas,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"The bamboo tube has a resin plug at one end. It is decorated with diagonal lines at the open end and three bands of dark string. The strap is made of woven plant fiber. A small object, possibly a bone, is tethered at one side of the handle and there is a small metal tab at the other. There are four arrows or darts in the quiver. The round gourd, called a pate, is filled with plant fiber. The gourd was once attached to the tube. One large hole is drilled on one side and two smaller holes are drilled on the other side.&nbsp;Late 1800s-2007.&nbsp;.01) 68 x 9.5 x 4.5 cm; .01) 26 3/4 x 3 3/4 x 1 3/4 in ; .02) 9 x 11.5 cm; .02) 3 1/2 x 4 1/2 in","El palo de bambú tiene un tapón de resina en un extremo. Está decorado con líneas diagonales en el extremo abierto y tres bandas de hilo oscuro. La correa está hecha de fibra vegetal tejida. Un objeto pequeño, posiblemente un hueso, está atado a un lado del mango y hay una pequeña lengüeta de metal en el otro. Hay cuatro flechas o dardos en la aljaba. La calabaza redonda, llamada paté, está llena de fibra vegetal. La calabaza estuvo una vez unida al tubo. Se perfora un agujero grande en un lado y dos agujeros más pequeños en el otro lado. .01) 26 3/4 x 3 3/4 x 1 3/4 pulgadas; .02) 9 x 11,5 cm; .02) 3 1/2 x 4 1/2 pulgadas","kaa jade te janujuine jaüna kaje, müürane ke füin, küani batui siriin, akueri ekune kaje büülüneteein, ela rijiei ke kujuiten, ke eraürü laujuiri jachüin tiritain ichuaküre iche kürü neke, ke te tijie kutinaja neke tijie bükü tijiichain, chaaen batui jerünaanaje tijiichae",Bamboo|plant fiber|gum resin|gourd|string|metal|possibly bone|capok fiber|weaving|incising,Bambú|fibra de planta|resina de goma|calabaza|cuerda|metal|posiblemente hueso|fibra de ceiba|tejido|grabado,jaüna|mürane|inuri|eraürü,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Bamboo|Plant fiber|Gum resin|Gourd|String|Metal|Possibly bone|Capok fiber|Weaving|Incising|Weapon,Bambú|Fibra de planta|Resina de goma|Calabaza|Cuerda|Metal|Posiblemente hueso|Fibra de ceiba|Tejido|Grabado|Armas,Bambú|Fibra de planta|Resina de goma|Calabaza|Cuerda|Metal|Posiblemente hueso|Fibra de ceiba|Tejido|Grabado|Armas|jaüna|mürane|inuri|eraürü,,,,,021,urarina_item,urarina,img/derivatives/simple/2007.4883/thumbnail.jpg,img/derivatives/simple/2007.4883/fullwidth.jpg
2007.4887,Jadé (quiver with darts),Jadé (aljaba con dardos),chanuna kujuade,Weapon,Armas,Armas,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,The quiver is made from a bamboo tube closed at one end with a thick coat of resin. The open end is decorated with a band of chevrons. The tube is decorated with incised lines in erratic shapes. A small stick is tied to the shaft with twisted plant fiber cord. The stick holds a brown spherical gourd with a small opening that shows fluffy white plant fiber filling. There is a strap of woven plant fiber held in place with a band of green cord. A bundle of grasses inside holds the darts in place. There is a small tuft of downy white material caught on the end of a dart. 1900s.&nbsp;18 x 12.5 x 34 cm length without strap; 7 1/16 x 4 7/8 x 13 3/8 in length without strap,"La aljaba está hecha de un palo de bambú cerrado en un extremo con una gruesa capa de resina. El extremo abierto está decorado con una banda de galones. El tubo está decorado con líneas incisas en formas erráticas. Un pequeño palo está atado al eje con un cordón de fibra vegetal retorcido. El palo sostiene una calabaza esférica marrón con una pequeña abertura que muestra un relleno de fibra vegetal blanca y esponjosa. Hay una correa de fibra vegetal tejida sujeta con una banda de cordón verde. Un manojo de hierbas en el interior mantiene los dardos en su lugar. Hay un pequeño mechón de material blanco suave atrapado en el extremo de un dardo. Durante 1900;18 x 12,5 x 34 cm de largo sin correa; 7 1/16 x 4 7/8 x 13 3/8 de largo sin correa","kaa jade te janujuine chanuna kaje, müürane ke füin, küani batui siriin, akueri ekune kaje büülüneteein, ela rijiei ke kujuiten, ke eraürü laujuiri jachüin tiritain ichuaküre iche kürü neke, ke te tijie kutinaja neke tijie bükü tijiichain, chaaen batui jerünaanaje tijiichae.",Marona wood|gum resin|pate gourd|huimba fiber|tamishi vine|chambira palm fiber|weaving|incising,Madera marona|resina de goma|paté de calabaza|fibra huimba|viña tamishi|fibra de palma de chambira|tejido|grabado,chanuna|mürane|inuri|eraürü|ebükü,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Marona wood|Gum resin|Pate gourd|Huimba fiber|Tamishi vine|Chambira palm fiber|Weaving|Incising|Weapon,Madera marona|Resina de goma|Paté de calabaza|Fibra huimba|Viña tamishi|Fibra de palma de chambira|Tejido|Grabado|Armas,Madera marona|Resina de goma|Paté de calabaza|Fibra huimba|Viña tamishi|Fibra de palma de chambira|Tejido|Grabado|Armas|chanuna|mürane|inuri|eraürü|ebükü,,,,,022,urarina_item,urarina,img/derivatives/simple/2007.4887/thumbnail.jpg,img/derivatives/simple/2007.4887/fullwidth.jpg
